Batch Number: 1,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,Batch Time,C1-1,C1-2,C1-3,C2-2,C3-3,,,,,
,,,,,,,,21000,0.1358582,0.4524792,0.02094,0.4996624,1.8835322,0.13735,0.514679,0.003468,0.752496,1.983627
Batch Number: 3,,,,,,,,21500,0.1283038,0.5648136,0.02094,0.3684034,1.8769384,0.066312,0.180593,0.01236,0.561956,1.852827
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,22000,0.1099072,0.5173368,0.0060638,0.3774958,1.8566608,0.13576,0.720201,0,0,1.996542
Ignore,0,0,0.547966,#NAME?,0.547966,#NAME?,,22500,0.1117282,0.550489,0.0158086,0.2430254,1.750225,0.110087,0.989612,0,0,1.95062
Component1,30,0.059945,1.137447,19.435687,1.137447,1.165065,,23000,0.117134,0.6554112,0.0133366,0.1306342,1.7668992,0.100027,0.181599,0.014491,0.573027,1.499688
Component2,1,0.001998,2.016647,1273.606283,2.016647,2.544862,,23500,0.1231748,0.6633028,0.013855,0.168379,1.7630744,0.146455,0.68044,0.052192,0.080144,1.451448
Component3,0,0,1.939933,inf,1.939933,#NAME?,,24000,0.1172644,0.6645412,0.013855,0.168379,1.771272,0.093341,0.705204,0,0,1.936198
Part1,24,0.047956,0.451009,9.4047,0.451009,0.451009,,24500,0.1240882,0.7407986,0.0109568,0.0537736,1.8598598,0.165964,0.759659,0.002592,0.188724,1.977418
Part2,1,0.001998,0.111436,55.769576,0.111436,0.111436,,25000,0.1153328,0.775547,0.0042596,0.0598942,1.9516066,0.080535,0.995804,0,0,1.991608
Part3,1,0.001998,0.097751,48.920681,0.097751,0.097751,,25500,0.1210566,0.7740382,0.0079138,0.1454046,1.9032786,0.134146,0.562886,0,0,1.942627
Agent:,Idle:,Busy:,,,,,,26000,0.1113522,0.6239366,0.0073954,0.4981388,1.9075538,0.102678,0.854182,0.018706,0.110747,1.910182
Inspector1,0,0.997946,,,,,,26500,0.1219194,0.5497786,0.0112804,0.500439,1.8989306,0.12196,0.69766,0.018271,0.427552,1.694558
Inspector2,0.977192,0.020754,,,,,,27000,0.1185558,0.4664116,0.1337366,0.6875256,1.6651758,0.117442,0.009151,0,1.952395,1.998794
Worker1,0.547966,0.449981,,,,,,27500,0.1152762,0.2976056,0.2236212,1.0526496,1.2886294,0.133371,0.625014,0.019425,0.011501,1.948492
Worker2,0.941742,0.056204,,,,,,28000,0.1326452,0.24254,0.2269872,1.1039104,1.2012096,0.117328,0.146051,0.612281,0.935433,0.773853
