Batch Number: 1,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,Batch Time,C1-1,C1-2,C1-3,C2-2,C3-3,,,,,
Component1,49,0.091328,1.563546,11.655173,1.563546,1.064439,,,,,,,,,,,,
Component2,0,0,0.002423,inf,0.002423,#NAME?,,,,,,,,,,,,
Component3,2,0.003728,2.171668,373.151096,2.171668,1.39098,,,,,,,,,,,,
Part1,45,0.083872,0.353937,4.219947,0.353937,0.353937,,,,,,,,,,,,
Part2,1,0.001864,0.011059,5.933218,0.011059,0.011059,,,,,,,,,,,,
Part3,2,0.003728,0.065075,17.457252,0.065075,0.065075,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.976902,,,,,,,,,,,,,,,,
Inspector2,0.675803,0.301099,,,,,,,,,,,,,,,,
Worker1,0.622965,0.353937,,,,,,,,,,,,,,,,
Worker2,0.965843,0.011059,,,,,,,,,,,,,,,,
Worker3,0.911827,0.065075,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.087538,,,,,,,,,,,,,,,,,
C1-2,0.586644,,,,,,,,,,,,,,,,,
C1-3,0,,,,,,,,,,,,,,,,,
C2-2,0.002423,,,,,,,,,,,,,,,,,
C3-3,1.953803,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 14,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.475099,#NAME?,0.475099,#NAME?,,,,,,,,,,,,
Component1,53,0.104997,1.123859,18.518802,1.123859,1.944422,,,,,,,,,,,,
Component2,7,0.013868,1.884131,86.74004,1.884131,1.202872,,,,,,,,,,,,
Component3,2,0.003962,0.945126,313.707717,0.945126,1.242959,,,,,,,,,,,,
Part1,48,0.095092,0.435994,4.584982,0.435994,0.435994,,,,,,,,,,,,
Part2,4,0.007924,0.195163,24.628371,0.195163,0.195163,,,,,,,,,,,,
Part3,3,0.005943,0.146237,24.605637,0.146237,0.146237,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.927632,,,,,,,,,,,,,,,,
Inspector2,0.353464,0.574167,,,,,,,,,,,,,,,,
Worker1,0.491637,0.435994,,,,,,,,,,,,,,,,
Worker2,0.732469,0.195163,,,,,,,,,,,,,,,,
Worker3,0.781394,0.146237,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.197015,,,,,,,,,,,,,,,,,
C1-2,0.107839,,,,,,,,,,,,,,,,,
C1-3,0.087708,,,,,,,,,,,,,,,,,
C2-2,1.397032,,,,,,,,,,,,,,,,,
C3-3,0.820192,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 15,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.563258,#NAME?,0.563258,#NAME?,,,,,,,,,,,,
Component1,47,0.093502,1.349268,12.712861,1.349268,1.188683,,,,,,,,,,,,
Component2,1,0.001989,0.616098,653.570994,0.616098,1.300222,,,,,,,,,,,,
Component3,3,0.005968,2.168333,244.686545,2.168333,1.460347,,,,,,,,,,,,
Part1,39,0.077587,0.371228,4.784664,0.371228,0.371228,,,,,,,,,,,,
Part2,4,0.007958,0.128612,16.162052,0.128612,0.128612,,,,,,,,,,,,
Part3,2,0.003979,0.052825,13.276511,0.052825,0.052825,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.9905,,,,,,,,,,,,,,,,
Inspector2,0.744046,0.246454,,,,,,,,,,,,,,,,
Worker1,0.619272,0.371228,,,,,,,,,,,,,,,,
Worker2,0.861888,0.128612,,,,,,,,,,,,,,,,
Worker3,0.937675,0.052825,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.129048,,,,,,,,,,,,,,,,,
C1-2,0.359451,,,,,,,,,,,,,,,,,
C1-3,0,,,,,,,,,,,,,,,,,
C2-2,0.598064,,,,,,,,,,,,,,,,,
C3-3,1.977937,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 16,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.63621,#NAME?,0.63621,#NAME?,,,,,,,,,,,,
Component1,49,0.094147,1.648913,21.731384,1.648913,2.045954,,,,,,,,,,,,
Component2,4,0.007686,0.365246,37.457001,0.365246,0.287876,,,,,,,,,,,,
Component3,2,0.003843,1.819195,743.105819,1.819195,2.855571,,,,,,,,,,,,
Part1,44,0.084541,0.34073,4.03038,0.34073,0.34073,,,,,,,,,,,,
Part2,3,0.005764,0.130358,22.615408,0.130358,0.130358,,,,,,,,,,,,
Part3,3,0.005764,0.077425,13.432246,0.077425,0.077425,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.994887,,,,,,,,,,,,,,,,
Inspector2,0.515059,0.479828,,,,,,,,,,,,,,,,
Worker1,0.654157,0.34073,,,,,,,,,,,,,,,,
Worker2,0.864529,0.130358,,,,,,,,,,,,,,,,
Worker3,0.917462,0.077425,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.117313,,,,,,,,,,,,,,,,,
C1-2,0.652029,,,,,,,,,,,,,,,,,
C1-3,0.001997,,,,,,,,,,,,,,,,,
C2-2,0.07737,,,,,,,,,,,,,,,,,
C3-3,1.589342,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 17,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.548702,#NAME?,0.548702,#NAME?,,,,,,,,,,,,
Component1,48,0.095158,1.567337,18.158498,1.567337,1.727925,,,,,,,,,,,,
Component2,5,0.009912,0.413293,40.889083,0.413293,0.405304,,,,,,,,,,,,
Component3,4,0.00793,1.814074,240.143158,1.814074,1.904294,,,,,,,,,,,,
Part1,41,0.081281,0.40729,5.010903,0.40729,0.40729,,,,,,,,,,,,
Part2,4,0.00793,0.171241,21.594509,0.171241,0.171241,,,,,,,,,,,,
Part3,4,0.00793,0.154076,19.42999,0.154076,0.154076,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.959438,,,,,,,,,,,,,,,,
Inspector2,0.383326,0.576112,,,,,,,,,,,,,,,,
Worker1,0.552148,0.40729,,,,,,,,,,,,,,,,
Worker2,0.788197,0.171241,,,,,,,,,,,,,,,,
Worker3,0.805362,0.154076,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.160588,,,,,,,,,,,,,,,,,
C1-2,0.587522,,,,,,,,,,,,,,,,,
C1-3,0.00643,,,,,,,,,,,,,,,,,
C2-2,0.12678,,,,,,,,,,,,,,,,,
C3-3,1.563581,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 18,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.563607,#NAME?,0.563607,#NAME?,,,,,,,,,,,,
Component1,49,0.097554,0.991208,11.254784,0.991208,1.097951,,,,,,,,,,,,
Component2,2,0.003982,2.108064,106.626897,2.108064,0.424567,,,,,,,,,,,,
Component3,0,0,1.982382,inf,1.982382,#NAME?,,,,,,,,,,,,
Part1,48,0.095563,0.42091,4.404515,0.42091,0.42091,,,,,,,,,,,,
Part2,1,0.001991,0.011568,5.810264,0.011568,0.011568,,,,,,,,,,,,
Part3,0,0,0,#NAME?,0,#NAME?,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.991191,,,,,,,,,,,,,,,,
Inspector2,0.840789,0.150401,,,,,,,,,,,,,,,,
Worker1,0.570281,0.42091,,,,,,,,,,,,,,,,
Worker2,0.979623,0.011568,,,,,,,,,,,,,,,,
Worker3,0.991191,0,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.106742,,,,,,,,,,,,,,,,,
C1-2,0,,,,,,,,,,,,,,,,,
C1-3,0,,,,,,,,,,,,,,,,,
C2-2,1.982382,,,,,,,,,,,,,,,,,
C3-3,1.957662,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 19,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.625602,#NAME?,0.625602,#NAME?,,,,,,,,,,,,
Component1,47,0.090457,1.06912,12.984159,1.06912,1.174509,,,,,,,,,,,,
Component2,2,0.003849,1.45123,821.964268,1.45123,3.163937,,,,,,,,,,,,
Component3,3,0.005774,2.11538,460.943459,2.11538,2.661422,,,,,,,,,,,,
Part1,40,0.076985,0.366144,4.756051,0.366144,0.366144,,,,,,,,,,,,
Part2,5,0.009623,0.243551,25.30902,0.243551,0.243551,,,,,,,,,,,,
Part3,2,0.003849,0.059818,15.540164,0.059818,0.059818,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.995602,,,,,,,,,,,,,,,,
Inspector2,0.529104,0.466498,,,,,,,,,,,,,,,,
Worker1,0.629458,0.366144,,,,,,,,,,,,,,,,
Worker2,0.752051,0.243551,,,,,,,,,,,,,,,,
Worker3,0.935784,0.059818,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.105389,,,,,,,,,,,,,,,,,
C1-2,0.029222,,,,,,,,,,,,,,,,,
C1-3,0.035885,,,,,,,,,,,,,,,,,
C2-2,1.277436,,,,,,,,,,,,,,,,,
C3-3,1.822676,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 20,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.584823,#NAME?,0.584823,#NAME?,,,,,,,,,,,,
Component1,46,0.091977,1.510055,11.507787,1.510055,1.058456,,,,,,,,,,,,
Component2,1,0.002,0.006822,3.411983,0.006822,0.006822,,,,,,,,,,,,
Component3,2,0.003999,2.102417,895.14034,2.102417,3.579682,,,,,,,,,,,,
Part1,40,0.07998,0.370487,4.632225,0.370487,0.370487,,,,,,,,,,,,
Part2,1,0.002,0.004366,2.183669,0.004366,0.004366,,,,,,,,,,,,
Part3,3,0.005999,0.12804,21.345169,0.12804,0.12804,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.960843,,,,,,,,,,,,,,,,
Inspector2,0.700977,0.259866,,,,,,,,,,,,,,,,
Worker1,0.590356,0.370487,,,,,,,,,,,,,,,,
Worker2,0.956477,0.004366,,,,,,,,,,,,,,,,
Worker3,0.832804,0.12804,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.104988,,,,,,,,,,,,,,,,,
C1-2,0.572036,,,,,,,,,,,,,,,,,
C1-3,0,,,,,,,,,,,,,,,,,
C2-2,0,,,,,,,,,,,,,,,,,
C3-3,1.84006,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 21,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.613447,#NAME?,0.613447,#NAME?,,,,,,,,,,,,
Component1,45,0.089559,1.231572,21.07745,1.231572,1.887666,,,,,,,,,,,,
Component2,3,0.005971,0.203691,34.115829,0.203691,0.203691,,,,,,,,,,,,
Component3,3,0.005971,2.066697,106.847041,2.066697,0.637938,,,,,,,,,,,,
Part1,41,0.081598,0.382483,4.687423,0.382483,0.382483,,,,,,,,,,,,
Part2,3,0.005971,0.130362,21.83413,0.130362,0.130362,,,,,,,,,,,,
Part3,2,0.00398,0.109952,27.623377,0.109952,0.109952,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.999755,,,,,,,,,,,,,,,,
Inspector2,0.614758,0.384997,,,,,,,,,,,,,,,,
Worker1,0.617272,0.382483,,,,,,,,,,,,,,,,
Worker2,0.869393,0.130362,,,,,,,,,,,,,,,,
Worker3,0.889804,0.109952,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.102101,,,,,,,,,,,,,,,,,
C1-2,0.231816,,,,,,,,,,,,,,,,,
C1-3,0,,,,,,,,,,,,,,,,,
C2-2,0,,,,,,,,,,,,,,,,,
C3-3,1.894661,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 22,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.612029,#NAME?,0.612029,#NAME?,,,,,,,,,,,,
Component1,44,0.087424,1.276987,13.947392,1.276987,1.219338,,,,,,,,,,,,
Component2,2,0.003974,0.195704,49.248204,0.195704,0.195704,,,,,,,,,,,,
Component3,2,0.003974,2.184984,696.570736,2.184984,2.768049,,,,,,,,,,,,
Part1,39,0.07749,0.41379,5.339942,0.41379,0.41379,,,,,,,,,,,,
Part2,2,0.003974,0.085297,21.464829,0.085297,0.085297,,,,,,,,,,,,
Part3,2,0.003974,0.061412,15.454174,0.061412,0.061412,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.995103,,,,,,,,,,,,,,,,
Inspector2,0.667048,0.328055,,,,,,,,,,,,,,,,
Worker1,0.586056,0.409047,,,,,,,,,,,,,,,,
Worker2,0.909806,0.085297,,,,,,,,,,,,,,,,
Worker3,0.933691,0.061412,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.133414,,,,,,,,,,,,,,,,,
C1-2,0.281884,,,,,,,,,,,,,,,,,
C1-3,0,,,,,,,,,,,,,,,,,
C2-2,0.062426,,,,,,,,,,,,,,,,,
C3-3,1.990206,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 23,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.489479,#NAME?,0.489479,#NAME?,,,,,,,,,,,,
Component1,62,0.123971,1.807124,17.076223,1.807124,2.116956,,,,,,,,,,,,
Component2,4,0.007998,0.306856,38.365943,0.306856,0.306856,,,,,,,,,,,,
Component3,3,0.005999,2.104572,509.805342,2.104572,3.058116,,,,,,,,,,,,
Part1,53,0.105975,0.495454,4.675192,0.495454,0.495454,,,,,,,,,,,,
Part2,3,0.005999,0.130655,21.780901,0.130655,0.130655,,,,,,,,,,,,
Part3,5,0.009998,0.22243,22.2482,0.22243,0.22243,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.993414,,,,,,,,,,,,,,,,
Inspector2,0.303858,0.689557,,,,,,,,,,,,,,,,
Worker1,0.49651,0.496905,,,,,,,,,,,,,,,,
Worker2,0.862759,0.130655,,,,,,,,,,,,,,,,
Worker3,0.803024,0.19039,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.253797,,,,,,,,,,,,,,,,,
C1-2,0.732646,,,,,,,,,,,,,,,,,
C1-3,0.081063,,,,,,,,,,,,,,,,,
C2-2,0,,,,,,,,,,,,,,,,,
C3-3,1.637191,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 24,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.406476,#NAME?,0.406476,#NAME?,,,,,,,,,,,,
Component1,67,0.132134,2.513951,22.367418,2.513951,2.955501,,,,,,,,,,,,
Component2,5,0.009861,0.481896,48.870077,0.481896,0.481896,,,,,,,,,,,,
Component3,8,0.015777,0.873953,35.188472,0.873953,0.555176,,,,,,,,,,,,
Part1,57,0.112413,0.558946,4.972269,0.558946,0.558946,,,,,,,,,,,,
Part2,6,0.011833,0.314931,26.614809,0.314931,0.314931,,,,,,,,,,,,
Part3,6,0.011833,0.264986,22.393998,0.264986,0.264986,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.999769,,,,,,,,,,,,,,,,
Inspector2,0.054621,0.945149,,,,,,,,,,,,,,,,
Worker1,0.437546,0.562223,,,,,,,,,,,,,,,,
Worker2,0.703349,0.296421,,,,,,,,,,,,,,,,
Worker3,0.703182,0.296587,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.307175,,,,,,,,,,,,,,,,,
C1-2,1.189547,,,,,,,,,,,,,,,,,
C1-3,0.324635,,,,,,,,,,,,,,,,,
C2-2,0.091118,,,,,,,,,,,,,,,,,
C3-3,0.403102,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 25,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.692383,#NAME?,0.692383,#NAME?,,,,,,,,,,,,
Component1,45,0.08995,1.230094,11.485175,1.230094,1.033088,,,,,,,,,,,,
Component2,1,0.001999,0.120852,60.459616,0.120852,0.120852,,,,,,,,,,,,
Component3,0,0,1.971775,inf,1.971775,#NAME?,,,,,,,,,,,,
Part1,43,0.085952,0.296431,3.4488,0.296431,0.296431,,,,,,,,,,,,
Part2,0,0,0,#NAME?,0,#NAME?,,,,,,,,,,,,
Part3,1,0.001999,0,0.000033,0,0,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.985887,,,,,,,,,,,,,,,,
Inspector2,0.909256,0.076631,,,,,,,,,,,,,,,,
Worker1,0.689456,0.296431,,,,,,,,,,,,,,,,
Worker2,0.967126,0.018761,,,,,,,,,,,,,,,,
Worker3,0.985887,0,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.047201,,,,,,,,,,,,,,,,,
C1-2,0.244207,,,,,,,,,,,,,,,,,
C1-3,0,,,,,,,,,,,,,,,,,
C2-2,0,,,,,,,,,,,,,,,,,
C3-3,1.971775,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 26,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.747621,#NAME?,0.747621,#NAME?,,,,,,,,,,,,
Component1,45,0.089447,1.043417,15.09593,1.043417,1.350281,,,,,,,,,,,,
Component2,2,0.003975,1.120466,281.849168,1.120466,1.120466,,,,,,,,,,,,
Component3,1,0.001988,2.011474,6.331917,2.011474,0.012586,,,,,,,,,,,,
Part1,43,0.085471,0.255805,2.992873,0.255805,0.255805,,,,,,,,,,,,
Part2,3,0.005963,0.166455,27.914177,0.166455,0.166455,,,,,,,,,,,,
Part3,0,0,0,#NAME?,0,#NAME?,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.999444,,,,,,,,,,,,,,,,
Inspector2,0.802974,0.19647,,,,,,,,,,,,,,,,
Worker1,0.743639,0.255805,,,,,,,,,,,,,,,,
Worker2,0.832989,0.166455,,,,,,,,,,,,,,,,
Worker3,0.999444,0,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.064022,,,,,,,,,,,,,,,,,
C1-2,0.043973,,,,,,,,,,,,,,,,,
C1-3,0,,,,,,,,,,,,,,,,,
C2-2,0.980555,,,,,,,,,,,,,,,,,
C3-3,1.998888,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 27,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.642665,#NAME?,0.642665,#NAME?,,,,,,,,,,,,
Component1,51,0.101165,1.364155,13.298573,1.364155,1.345355,,,,,,,,,,,,
Component2,2,0.003967,0.172699,43.530902,0.172699,0.172699,,,,,,,,,,,,
Component3,2,0.003967,2.018809,903.69279,2.018809,3.585194,,,,,,,,,,,,
Part1,47,0.093231,0.373227,4.003253,0.373227,0.373227,,,,,,,,,,,,
Part2,2,0.003967,0.110527,27.859777,0.110527,0.110527,,,,,,,,,,,,
Part3,2,0.003967,0.000207,0.05214,0.000207,0.000207,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.993865,,,,,,,,,,,,,,,,
Inspector2,0.790087,0.203778,,,,,,,,,,,,,,,,
Worker1,0.620638,0.373227,,,,,,,,,,,,,,,,
Worker2,0.883338,0.110527,,,,,,,,,,,,,,,,
Worker3,0.993658,0.000207,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.09727,,,,,,,,,,,,,,,,,
C1-2,0.350731,,,,,,,,,,,,,,,,,
C1-3,0,,,,,,,,,,,,,,,,,
C2-2,0,,,,,,,,,,,,,,,,,
C3-3,1.98773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 28,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.682346,#NAME?,0.682346,#NAME?,,,,,,,,,,,,
Component1,47,0.092035,1.534319,14.019966,1.534319,1.290324,,,,,,,,,,,,
Component2,4,0.007833,0.384116,49.039811,0.384116,0.384116,,,,,,,,,,,,
Component3,3,0.005875,1.965876,292.355014,1.965876,1.717457,,,,,,,,,,,,
Part1,39,0.076369,0.375052,4.911029,0.375052,0.375052,,,,,,,,,,,,
Part2,4,0.007833,0.027085,3.457944,0.027085,0.027085,,,,,,,,,,,,
Part3,3,0.005875,0.018139,3.087644,0.018139,0.018139,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.991923,,,,,,,,,,,,,,,,
Inspector2,0.885365,0.106558,,,,,,,,,,,,,,,,
Worker1,0.616871,0.375052,,,,,,,,,,,,,,,,
Worker2,0.964837,0.027085,,,,,,,,,,,,,,,,
Worker3,0.973784,0.018139,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.104495,,,,,,,,,,,,,,,,,
C1-2,0.561705,,,,,,,,,,,,,,,,,
C1-3,0,,,,,,,,,,,,,,,,,
C2-2,0.341796,,,,,,,,,,,,,,,,,
C3-3,1.901639,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 29,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.561902,#NAME?,0.561902,#NAME?,,,,,,,,,,,,
Component1,49,0.097193,1.18131,18.752497,1.18131,1.822618,,,,,,,,,,,,
Component2,7,0.013885,1.363956,98.234045,1.363956,1.363956,,,,,,,,,,,,
Component3,2,0.003967,1.961197,606.454588,1.961197,2.405851,,,,,,,,,,,,
Part1,41,0.081325,0.43755,5.38026,0.43755,0.43755,,,,,,,,,,,,
Part2,7,0.013885,0.052979,3.815634,0.052979,0.052979,,,,,,,,,,,,
Part3,2,0.003967,0.026783,6.751416,0.026783,0.026783,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.978823,,,,,,,,,,,,,,,,
Inspector2,0.892491,0.086331,,,,,,,,,,,,,,,,
Worker1,0.541273,0.43755,,,,,,,,,,,,,,,,
Worker2,0.925843,0.052979,,,,,,,,,,,,,,,,
Worker3,0.952039,0.026783,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.172242,,,,,,,,,,,,,,,,,
C1-2,0.202488,,,,,,,,,,,,,,,,,
C1-3,0,,,,,,,,,,,,,,,,,
C2-2,1.281176,,,,,,,,,,,,,,,,,
C3-3,1.957645,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 30,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.642083,#NAME?,0.642083,#NAME?,,,,,,,,,,,,
Component1,61,0.120749,1.374949,12.509256,1.374949,1.510481,,,,,,,,,,,,
Component2,7,0.013856,0.166525,10.363623,0.166525,0.143603,,,,,,,,,,,,
Component3,5,0.009897,2.078755,337.694937,2.078755,3.342323,,,,,,,,,,,,
Part1,49,0.096995,0.400243,4.126422,0.400243,0.400243,,,,,,,,,,,,
Part2,6,0.011877,0.060785,5.117924,0.060785,0.060785,,,,,,,,,,,,
Part3,6,0.011877,0.023539,1.98193,0.023539,0.023539,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.991786,,,,,,,,,,,,,,,,
Inspector2,0.817689,0.174096,,,,,,,,,,,,,,,,
Worker1,0.591543,0.400243,,,,,,,,,,,,,,,,
Worker2,0.939695,0.05209,,,,,,,,,,,,,,,,
Worker3,0.968246,0.023539,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.135531,,,,,,,,,,,,,,,,,
C1-2,0.383164,,,,,,,,,,,,,,,,,
C1-3,0,,,,,,,,,,,,,,,,,
C2-2,0.069065,,,,,,,,,,,,,,,,,
C3-3,1.953999,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 31,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.573907,#NAME?,0.573907,#NAME?,,,,,,,,,,,,
Component1,51,0.100317,0.990213,11.209267,0.990213,1.124483,,,,,,,,,,,,
Component2,6,0.011802,1.688046,111.499922,1.688046,1.315926,,,,,,,,,,,,
Component3,1,0.001967,1.935095,1.672751,1.935095,0.00329,,,,,,,,,,,,
Part1,45,0.088515,0.429392,4.851048,0.429392,0.429392,,,,,,,,,,,,
